x,h,u,momentum
0.00125000,1.68865127,0.71786376,1.21222155
0.00375000,1.68435889,0.72821614,1.22657732
0.00625000,1.68007214,0.73856811,1.24084770
0.00875000,1.67579138,0.74891882,1.25503170
0.01125000,1.67151697,0.75926741,1.26912836
0.01375000,1.66724926,0.76961298,1.28313668
0.01625000,1.66298863,0.77995463,1.29705569
0.01875000,1.65873546,0.79029142,1.31088440
0.02125000,1.65449014,0.80062236,1.32462181
0.02375000,1.65025308,0.81094647,1.33826691
0.02625000,1.64602468,0.82126269,1.35181866
0.02875000,1.64180539,0.83156994,1.36527601
0.03125000,1.63759565,0.84186707,1.37863786
0.03375000,1.63339594,0.85215292,1.39190311
0.03625000,1.62920674,0.86242621,1.40507060
0.03875000,1.62502856,0.87268566,1.41813912
0.04125000,1.62086195,0.88292987,1.43110743
0.04375000,1.61670748,0.89315739,1.44397423
0.04625000,1.61256574,0.90336668,1.45673816
0.04875000,1.60843736,0.91355611,1.46939778
0.05125000,1.60432302,0.92372394,1.48195159
0.05375000,1.60022343,0.93386835,1.49439800
0.05625000,1.59613933,0.94398735,1.50673535
0.05875000,1.59207154,0.95407888,1.51896184
0.06125000,1.58802090,0.96414071,1.53107559
0.06375000,1.58398833,0.97417044,1.54307461
0.06625000,1.57997480,0.98416555,1.55495676
0.06875000,1.57598135,0.99412330,1.56671977
0.07125000,1.57200909,1.00404077,1.57836121
0.07375000,1.56805922,1.01391483,1.58987850
0.07625000,1.56413300,1.02374214,1.60126886
0.07875000,1.56023181,1.03351907,1.61252933
0.08125000,1.55635712,1.04324176,1.62365673
0.08375000,1.55251049,1.05290604,1.63464768
0.08625000,1.54869363,1.06250746,1.64549853
0.08875000,1.54490835,1.07204119,1.65620539
0.09125000,1.54115659,1.08150209,1.66676407
0.09375000,1.53744044,1.09088461,1.67717012
0.09625000,1.53376215,1.10018280,1.68741874
0.09875000,1.53012411,1.10939029,1.69750483
0.10125000,1.52652891,1.11850022,1.70742292
0.10375000,1.52297927,1.12750529,1.71716719
0.10625000,1.51947815,1.13639767,1.72673143
0.10875000,1.51602867,1.14516902,1.73610907
0.11125000,1.51263415,1.15381046,1.74529310
0.11375000,1.50929812,1.16231256,1.75427616
0.11625000,1.50602432,1.17066534,1.76305046
0.11875000,1.50281666,1.17885828,1.77160786
0.12125000,1.49967927,1.18688033,1.77993983
0.12375000,1.49661646,1.19471994,1.78803753
0.12625000,1.49363268,1.20236513,1.79589185
0.12875000,1.49073252,1.20980351,1.80349344
0.13125000,1.48792070,1.21702242,1.81083285
0.13375000,1.48520196,1.22400899,1.81790055
0.13625000,1.48258109,1.23075031,1.82468714
0.13875000,1.48006277,1.23723362,1.83118343
0.14125000,1.47765161,1.24344644,1.83738063
0.14375000,1.47535195,1.24937685,1.84327057
0.14625000,1.47316786,1.25501371,1.84884587
0.14875000,1.47110297,1.26034697,1.85410018
0.15125000,1.46916041,1.26536791,1.85902844
0.15375000,1.46734266,1.27006947,1.86362711
0.15625000,1.46565146,1.27444652,1.86789439
0.15875000,1.46408771,1.27849615,1.87183050
0.16125000,1.46265140,1.28221789,1.87543778
0.16375000,1.46134148,1.28561391,1.87872092
0.16625000,1.46015588,1.28868913,1.88168700
0.16875000,1.45909147,1.29145127,1.88434552
0.17125000,1.45814407,1.29391079,1.88670835
0.17375000,1.45730853,1.29608078,1.88878957
0.17625000,1.45657879,1.29797667,1.89060528
0.17875000,1.45594803,1.29961594,1.89217326
0.18125000,1.45540882,1.30101771,1.89351266
0.18375000,1.45495328,1.30220231,1.89464353
0.18625000,1.45457329,1.30319073,1.89558643
0.18875000,1.45426063,1.30400420,1.89636197
0.19125000,1.45400722,1.30466366,1.89699038
0.19375000,1.45380526,1.30518936,1.89749115
0.19625000,1.45364734,1.30560048,1.89788266
0.19875000,1.45352660,1.30591484,1.89818196
0.20125000,1.45343679,1.30614868,1.89840455
0.20375000,1.45337232,1.30631653,1.89856429
0.20625000,1.45332827,1.30643116,1.89867333
0.20875000,1.45330039,1.30650358,1.89874217
0.21125000,1.45328510,1.30654316,1.89877971
0.21375000,1.45327940,1.30655768,1.89879337
0.21625000,1.45328083,1.30655353,1.89878920
0.21875000,1.45328742,1.30653585,1.89877211
0.22125000,1.45329760,1.30650870,1.89874596
0.22375000,1.45331018,1.30647522,1.89871374
0.22625000,1.45332422,1.30643783,1.89867774
0.22875000,1.45333905,1.30639830,1.89863967
0.23125000,1.45335417,1.30635794,1.89860076
0.23375000,1.45336922,1.30631766,1.89856188
0.23625000,1.45338398,1.30627809,1.89852365
0.23875000,1.45339828,1.30623964,1.89848645
0.24125000,1.45341203,1.30620256,1.89845052
0.24375000,1.45342519,1.30616699,1.89841601
0.24625000,1.45343772,1.30613299,1.89838295
0.24875000,1.45344964,1.30610054,1.89835137
0.25125000,1.45346096,1.30606964,1.89832122
0.25375000,1.45347169,1.30604020,1.89829247
0.25625000,1.45348188,1.30601218,1.89826504
0.25875000,1.45349153,1.30598550,1.89823887
0.26125000,1.45350070,1.30596009,1.89821390
0.26375000,1.45350940,1.30593586,1.89819005
0.26625000,1.45351766,1.30591276,1.89816726
0.26875000,1.45352551,1.30589072,1.89814547
0.27125000,1.45353297,1.30586967,1.89812462
0.27375000,1.45354006,1.30584956,1.89810465
0.27625000,1.45354681,1.30583033,1.89808552
0.27875000,1.45355324,1.30581194,1.89806717
0.28125000,1.45355936,1.30579433,1.89804956
0.28375000,1.45356519,1.30577746,1.89803266
0.28625000,1.45357075,1.30576129,1.89801642
0.28875000,1.45357605,1.30574579,1.89800080
0.29125000,1.45358110,1.30573092,1.89798578
0.29375000,1.45358592,1.30571664,1.89797133
0.29625000,1.45359052,1.30570293,1.89795740
0.29875000,1.45359490,1.30568976,1.89794399
0.30125000,1.45359909,1.30567710,1.89793105
0.30375000,1.45360309,1.30566493,1.89791857
0.30625000,1.45360691,1.30565321,1.89790653
0.30875000,1.45361055,1.30564194,1.89789490
0.31125000,1.45361403,1.30563108,1.89788366
0.31375000,1.45361736,1.30562062,1.89787280
0.31625000,1.45362053,1.30561054,1.89786229
0.31875000,1.45362356,1.30560083,1.89785212
0.32125000,1.45362646,1.30559146,1.89784228
0.32375000,1.45362922,1.30558242,1.89783275
0.32625000,1.45363186,1.30557369,1.89782351
0.32875000,1.45363438,1.30556527,1.89781456
0.33125000,1.45363679,1.30555713,1.89780587
0.33375000,1.45363908,1.30554927,1.89779745
0.33625000,1.45364127,1.30554168,1.89778926
0.33875000,1.45364336,1.30553433,1.89778131
0.34125000,1.45364536,1.30552722,1.89777359
0.34375000,1.45364726,1.30552035,1.89776608
0.34625000,1.45364907,1.30551370,1.89775878
0.34875000,1.45365080,1.30550726,1.89775167
0.35125000,1.45365245,1.30550102,1.89774475
0.35375000,1.45365402,1.30549497,1.89773801
0.35625000,1.45365551,1.30548911,1.89773144
0.35875000,1.45365693,1.30548343,1.89772503
0.36125000,1.45365828,1.30547792,1.89771879
0.36375000,1.45365956,1.30547258,1.89771269
0.36625000,1.45366078,1.30546739,1.89770674
0.36875000,1.45366194,1.30546235,1.89770093
0.37125000,1.45366304,1.30545746,1.89769525
0.37375000,1.45366407,1.30545270,1.89768970
0.37625000,1.45366506,1.30544808,1.89768426
0.37875000,1.45366599,1.30544359,1.89767895
0.38125000,1.45366687,1.30543922,1.89767374
