q_Ainv,omega_meV,intensity_clean,intensity_noisy
0.25,-25.0,1.0742135273035207,3.0
0.25,-24.821428571428573,1.077069984024765,2.0
0.25,-24.642857142857142,1.0800010613001862,0.0
0.25,-24.464285714285715,1.083009484461751,0.0
0.25,-24.285714285714285,1.086098107732415,1.0
0.25,-24.107142857142858,1.0892699217321438,1.0
0.25,-23.928571428571427,1.092528061503742,0.0
0.25,-23.75,1.095875815100239,3.0
0.25,-23.571428571428573,1.099316632779399,1.0
0.25,-23.392857142857142,1.1028541368551341,1.0
0.25,-23.214285714285715,1.1064921322602417,0.0
0.25,-23.035714285714285,1.1102346178800255,2.0
0.25,-22.857142857142858,1.1140857987220312,1.0
0.25,-22.678571428571427,1.118050098993413,1.0
0.25,-22.5,1.1221321761644123,2.0
0.25,-22.32142857142857,1.1263369361041504,0.0
0.25,-22.142857142857142,1.1306695493835188,1.0
0.25,-21.964285714285715,1.1351354688494792,1.0
0.25,-21.785714285714285,1.139740448585707,1.0
0.25,-21.607142857142858,1.144490564386323,2.0
0.25,-21.428571428571427,1.1493922358826616,0.0
0.25,-21.25,1.1544522504777386,0.0
0.25,-21.07142857142857,1.1596777892595607,2.0
0.25,-20.892857142857142,1.165076455082851,2.0
0.25,-20.714285714285715,1.170656303029434,1.0
0.25,-20.535714285714285,1.1764258734807131,1.0
0.25,-20.357142857142858,1.1823942280617479,1.0
0.25,-20.17857142857143,1.188570988745763,0.0
0.25,-20.0,1.1949663804409811,0.0
0.25,-19.82142857142857,1.2015912774189665,0.0
0.25,-19.642857142857142,1.2084572539858152,0.0
0.25,-19.464285714285715,1.2155766398452283,3.0
0.25,-19.285714285714285,1.2229625806565643,2.0
0.25,-19.107142857142858,1.2306291043523212,1.0
0.25,-18.92857142857143,1.2385911938492749,1.0
0.25,-18.75,1.2468648668669162,2.0
0.25,-18.57142857142857,1.255467263657438,1.0
0.25,-18.392857142857142,1.2644167435550122,1.0
0.25,-18.214285714285715,1.2737329913705462,0.0
0.25,-18.035714285714285,1.2834371347938718,0.0
0.25,-17.857142857142858,1.2935518741212586,2.0
0.25,-17.67857142857143,1.3041016258055327,1.0
0.25,-17.5,1.315112681532866,3.0
0.25,-17.32142857142857,1.3266133847691142,1.0
0.25,-17.142857142857142,1.33863432699492,3.0
0.25,-16.964285714285715,1.3512085661692,1.0
0.25,-16.785714285714285,1.364371870332906,1.0
0.25,-16.607142857142858,1.3781629896983751,0.0
0.25,-16.42857142857143,1.3926239610753341,1.0
0.25,-16.25,1.4078004490760154,2.0
0.25,-16.07142857142857,1.423742129235017,2.0
0.25,-15.892857142857142,1.440503118993831,0.0
0.25,-15.714285714285714,1.4581424634588493,4.0
0.25,-15.535714285714285,1.4767246839735182,1.0
0.25,-15.357142857142858,1.4963203988847205,0.0
0.25,-15.178571428571429,1.5170070274724405,1.0
0.25,-15.0,1.5388695899017528,2.0
0.25,-14.821428571428571,1.562001618310148,1.0
0.25,-14.642857142857142,1.5865061968385112,2.0
0.25,-14.464285714285714,1.6124971516460356,3.0
0.25,-14.285714285714285,1.6401004158357018,0.0
0.25,-14.107142857142858,1.6694555989035273,1.0
0.25,-13.928571428571429,1.7007177959926962,4.0
0.25,-13.75,1.7340596791084941,3.0
0.25,-13.571428571428571,1.7696739208133356,2.0
0.25,-13.392857142857142,1.8077760111254966,0.0
0.25,-13.214285714285714,1.8486075408327247,6.0
0.25,-13.035714285714285,1.8924400397584358,2.0
0.25,-12.857142857142858,1.9395794773837305,3.0
0.25,-12.678571428571429,1.990371556515513,2.0
0.25,-12.5,2.0452079595133514,2.0
0.25,-12.321428571428571,2.104533742350895,8.0
0.25,-12.142857142857142,2.1688561162635827,1.0
0.25,-11.964285714285714,2.238754912151663,3.0
0.25,-11.785714285714285,2.314895092056807,5.0
0.25,-11.607142857142858,2.3980417583812548,0.0
0.25,-11.428571428571429,2.4890782193345276,3.0
0.25,-11.25,2.5890278035213297,2.0
0.25,-11.071428571428571,2.6990802836596965,3.0
0.25,-10.892857142857142,2.8206239758738016,6.0
0.25,-10.714285714285714,2.9552848336832924,0.0
0.25,-10.535714285714285,3.10497416028542,6.0
0.25,-10.357142857142858,3.271946920432819,5.0
0.25,-10.178571428571429,3.458873035788762,5.0
0.25,-10.0,3.6689244661752607,3.0
0.25,-9.821428571428571,3.9058812441162734,3.0
0.25,-9.642857142857142,4.174259794778747,2.0
0.25,-9.464285714285714,4.479466547697268,4.0
0.25,-9.285714285714285,4.827978479351616,3.0
0.25,-9.107142857142858,5.227548799066662,3.0
0.25,-8.928571428571427,5.687428671341598,5.0
0.25,-8.75,6.218581437496664,6.0
0.25,-8.57142857142857,6.833838798007457,4.0
0.25,-8.392857142857142,7.54790004113009,3.0
0.25,-8.214285714285715,8.376992668056653,6.0
0.25,-8.035714285714285,9.337879774657914,14.0
0.25,-7.857142857142858,10.44570607203393,5.0
0.25,-7.678571428571427,11.70994363087736,10.0
0.25,-7.5,13.127554254257408,15.0
0.25,-7.321428571428569,14.672774186609981,11.0
0.25,-7.142857142857142,16.284329172669352,10.0
0.25,-6.964285714285715,17.854196872356297,22.0
0.25,-6.785714285714285,19.22691045836076,20.0
0.25,-6.607142857142858,20.220959914259268,17.0
0.25,-6.428571428571427,20.67640113073923,18.0
0.25,-6.25,20.512505631943213,19.0
0.25,-6.071428571428569,19.761657355208342,24.0
0.25,-5.892857142857142,18.555407017002572,19.0
0.25,-5.714285714285715,17.07290398706686,7.0
0.25,-5.535714285714285,15.485443966684247,14.0
0.25,-5.357142857142858,13.923028018068255,8.0
0.25,-5.178571428571427,12.466605715124365,9.0
0.25,-5.0,11.156047695430821,13.0
0.25,-4.821428571428569,10.003028433580019,8.0
0.25,-4.642857142857142,9.00262195091993,12.0
0.25,-4.464285714285715,8.141605900746061,10.0
0.25,-4.285714285714285,7.403637833760838,2.0
0.25,-4.107142857142858,6.772144795064826,4.0
0.25,-3.928571428571427,6.231753308079601,5.0
0.25,-3.75,5.768869368412242,7.0
0.25,-3.5714285714285694,5.371802212479873,8.0
0.25,-3.3928571428571423,5.030668849050778,3.0
0.25,-3.2142857142857153,4.737221712889867,7.0
0.25,-3.0357142857142847,4.484703298201995,3.0
0.25,-2.8571428571428577,4.267853352652632,1.0
0.25,-2.678571428571427,4.083295235248107,4.0
0.25,-2.5,3.9307287888565896,6.0
0.25,-2.3214285714285694,3.815630335052252,3.0
0.25,-2.1428571428571423,3.75433636955372,5.0
0.25,-1.9642857142857153,3.7820544968507632,5.0
0.25,-1.7857142857142847,3.9628915841876595,4.0
0.25,-1.6071428571428577,4.398008616540689,3.0
0.25,-1.428571428571427,5.224139769366486,5.0
0.25,-1.25,6.592427917872488,7.0
0.25,-1.0714285714285694,8.620784610644392,10.0
0.25,-0.8928571428571423,11.324641812553942,12.0
0.25,-0.7142857142857153,14.548711148101383,13.0
0.25,-0.5357142857142847,17.936487905883233,14.0
0.25,-0.35714285714285765,20.97141381733388,12.0
0.25,-0.17857142857142705,23.09698789824546,34.0
0.25,0.0,23.881779676681823,29.0
0.25,0.1785714285714306,23.16315722043962,32.0
0.25,0.35714285714285765,21.104292068832958,35.0
0.25,0.5357142857142847,18.137164553958016,17.0
0.25,0.7142857142857153,14.818846358903409,18.0
0.25,0.8928571428571423,11.666498555925356,5.0
0.25,1.071428571428573,9.037273090357232,15.0
0.25,1.25,7.0871638142094975,7.0
0.25,1.4285714285714306,5.801518277080331,9.0
0.25,1.6071428571428577,5.063296849005584,5.0
0.25,1.7857142857142847,4.722342620991253,8.0
0.25,1.9642857142857153,4.643047208563666,6.0
0.25,2.1428571428571423,4.725546195555143,4.0
0.25,2.321428571428573,4.907237456368565,4.0
0.25,2.5,5.154671664678671,11.0
0.25,2.6785714285714306,5.4535792847025855,5.0
0.25,2.8571428571428577,5.800926657492237,8.0
0.25,3.0357142857142847,6.1999135039850035,4.0
0.25,3.2142857142857153,6.65737060317839,6.0
0.25,3.3928571428571423,7.182682876292975,8.0
0.25,3.571428571428573,7.787537601451389,6.0
0.25,3.75,8.486067349881253,12.0
0.25,3.9285714285714306,9.295151031109471,14.0
0.25,4.107142857142858,10.234724093389598,16.0
0.25,4.285714285714285,11.327946127094195,8.0
0.25,4.464285714285715,12.60099253342535,20.0
0.25,4.642857142857142,14.082070392954178,17.0
0.25,4.821428571428573,15.798990555778524,17.0
0.25,5.0,17.774260856933935,21.0
0.25,5.178571428571431,20.01629596729858,19.0
0.25,5.357142857142858,22.505315418094373,19.0
0.25,5.535714285714285,25.17365162540837,25.0
0.25,5.714285714285715,27.883872142434676,23.0
0.25,5.892857142857142,30.415240613721437,28.0
0.25,6.071428571428573,32.476889987288544,35.0
0.25,6.25,33.76461348095603,43.0
0.25,6.428571428571431,34.055036063610686,23.0
0.25,6.607142857142858,33.293189626341466,35.0
0.25,6.785714285714285,31.61619615626199,40.0
0.25,6.964285714285715,29.295703044765315,33.0
0.25,7.142857142857146,26.639980203633066,27.0
0.25,7.321428571428569,23.91306855924986,27.0
0.25,7.5,21.29843564077823,18.0
0.25,7.678571428571431,18.900158335412787,15.0
0.25,7.857142857142861,16.762007082620247,12.0
0.25,8.035714285714285,14.889157841082264,19.0
0.25,8.214285714285715,13.265540168985527,9.0
0.25,8.392857142857146,11.865449217876654,10.0
0.25,8.57142857142857,10.660430890848183,6.0
0.25,8.75,9.622939872575683,13.0
0.25,8.92857142857143,8.72802538590619,10.0
0.25,9.107142857142861,7.953907580824372,13.0
0.25,9.285714285714285,7.281978889981196,5.0
0.25,9.464285714285715,6.69653883582251,5.0
0.25,9.642857142857146,6.1844302699032125,5.0
0.25,9.82142857142857,5.734662871330935,5.0
0.25,10.0,5.338063876227239,5.0
0.25,10.17857142857143,4.98697150411112,4.0
0.25,10.357142857142861,4.674974117061697,2.0
0.25,10.535714285714285,4.396692328313447,3.0
0.25,10.714285714285715,4.1475989548898875,4.0
0.25,10.892857142857146,3.923871155721644,3.0
0.25,11.07142857142857,3.7222693763815333,2.0
0.25,11.25,3.5400383413922656,3.0
0.25,11.42857142857143,3.374826045821197,1.0
0.25,11.607142857142861,3.2246173815415995,2.0
0.25,11.785714285714285,3.087679641002407,3.0
0.25,11.964285714285715,2.962517658410243,3.0
0.25,12.142857142857146,2.847836777326961,2.0
0.25,12.32142857142857,2.742512184289508,3.0
0.25,12.5,2.645563431786993,2.0
0.25,12.67857142857143,2.556133202216047,3.0
0.25,12.857142857142861,2.473469547527947,2.0
0.25,13.035714285714285,2.39691098592051,2.0
0.25,13.214285714285715,2.325873954355437,2.0
0.25,13.392857142857146,2.2598422097898316,3.0
0.25,13.57142857142857,2.1983578475377694,1.0
0.25,13.75,2.1410136659090777,1.0
0.25,13.92857142857143,2.0874466552168256,1.0
0.25,14.107142857142861,2.0373324287892425,2.0
0.25,14.285714285714285,1.9903804456576029,2.0
0.25,14.464285714285715,1.9463299006174313,1.0
0.25,14.642857142857146,1.9049461785652166,1.0
0.25,14.82142857142857,1.8660177873402994,0.0
0.25,15.0,1.8293536975028646,4.0
0.25,15.17857142857143,1.7947810291524795,3.0
0.25,15.357142857142861,1.7621430355155514,2.0
0.25,15.535714285714285,1.7312973409877301,1.0
0.25,15.714285714285715,1.7021143979159252,3.0
0.25,15.892857142857146,1.674476131892162,1.0
0.25,16.07142857142857,1.648274749907686,1.0
0.25,16.25,1.6234116895425483,0.0
0.25,16.42857142857143,1.5997966905746595,0.0
0.25,16.60714285714286,1.5773469730899234,5.0
0.25,16.785714285714285,1.5559865084489337,0.0
0.25,16.964285714285715,1.5356453713871763,1.0
0.25,17.142857142857146,1.5162591631534559,2.0
0.25,17.32142857142857,1.4977684969735003,1.0
0.25,17.5,1.4801185383023119,1.0
0.25,17.67857142857143,1.4632585933326672,1.0
0.25,17.85714285714286,1.4471417400855238,1.0
0.25,18.035714285714285,1.431724497143742,0.0
0.25,18.214285714285715,1.416966525722287,1.0
0.25,18.392857142857146,1.4028303613118414,2.0
0.25,18.57142857142857,1.3892811716016542,1.0
0.25,18.75,1.3762865377927,0.0
0.25,18.92857142857143,1.3638162567630754,1.0
0.25,19.10714285714286,1.3518421618519119,3.0
0.25,19.285714285714285,1.3403379602926346,2.0
0.25,19.464285714285715,1.3292790855567096,1.0
0.25,19.642857142857146,1.3186425630699374,1.0
0.25,19.82142857142857,1.3084068879388884,1.0
0.25,20.0,1.2985519134787233,1.0
