x,rho,u,p,E
0.00125000,1.00000000,0.00000000,1.00000000,2.50000000
0.00375000,1.00000000,0.00000000,1.00000000,2.50000000
0.00625000,1.00000000,0.00000000,1.00000000,2.50000000
0.00875000,1.00000000,0.00000000,1.00000000,2.50000000
0.01125000,1.00000000,0.00000000,1.00000000,2.50000000
0.01375000,1.00000000,0.00000000,1.00000000,2.50000000
0.01625000,1.00000000,0.00000000,1.00000000,2.50000000
0.01875000,1.00000000,0.00000000,1.00000000,2.50000000
0.02125000,1.00000000,0.00000000,1.00000000,2.50000000
0.02375000,1.00000000,0.00000000,1.00000000,2.50000000
0.02625000,1.00000000,0.00000000,1.00000000,2.50000000
0.02875000,1.00000000,0.00000000,1.00000000,2.50000000
0.03125000,1.00000000,0.00000000,1.00000000,2.50000000
0.03375000,1.00000000,0.00000000,1.00000000,2.50000000
0.03625000,1.00000000,0.00000000,1.00000000,2.50000000
0.03875000,1.00000000,0.00000000,1.00000000,2.50000000
0.04125000,1.00000000,0.00000000,1.00000000,2.50000000
0.04375000,1.00000000,0.00000000,1.00000000,2.50000000
0.04625000,1.00000000,0.00000000,1.00000000,2.50000000
0.04875000,1.00000000,0.00000000,1.00000000,2.50000000
0.05125000,1.00000000,0.00000000,1.00000000,2.50000000
0.05375000,1.00000000,0.00000000,1.00000000,2.50000000
0.05625000,1.00000000,0.00000000,1.00000000,2.50000000
0.05875000,1.00000000,0.00000000,1.00000000,2.50000000
0.06125000,1.00000000,0.00000000,1.00000000,2.50000000
0.06375000,1.00000000,0.00000000,1.00000000,2.50000000
0.06625000,1.00000000,0.00000000,1.00000000,2.50000000
0.06875000,1.00000000,0.00000000,1.00000000,2.50000000
0.07125000,1.00000000,0.00000000,1.00000000,2.50000000
0.07375000,1.00000000,0.00000000,1.00000000,2.50000000
0.07625000,1.00000000,0.00000000,1.00000000,2.50000000
0.07875000,1.00000000,0.00000000,1.00000000,2.50000000
0.08125000,1.00000000,0.00000000,1.00000000,2.50000000
0.08375000,1.00000000,0.00000000,1.00000000,2.50000000
0.08625000,1.00000000,0.00000000,1.00000000,2.50000000
0.08875000,1.00000000,0.00000000,1.00000000,2.50000000
0.09125000,1.00000000,0.00000000,1.00000000,2.50000000
0.09375000,1.00000000,0.00000000,1.00000000,2.50000000
0.09625000,1.00000000,0.00000000,1.00000000,2.50000000
0.09875000,1.00000000,0.00000000,1.00000000,2.50000000
0.10125000,1.00000000,0.00000000,1.00000000,2.50000000
0.10375000,1.00000000,0.00000000,1.00000000,2.50000000
0.10625000,1.00000000,0.00000000,1.00000000,2.50000000
0.10875000,1.00000000,0.00000000,1.00000000,2.50000000
0.11125000,1.00000000,0.00000000,1.00000000,2.50000000
0.11375000,1.00000000,0.00000000,1.00000000,2.50000000
0.11625000,1.00000000,0.00000000,1.00000000,2.50000000
0.11875000,1.00000000,0.00000000,1.00000000,2.50000000
0.12125000,1.00000000,0.00000000,1.00000000,2.50000000
0.12375000,1.00000000,0.00000000,1.00000000,2.50000000
0.12625000,1.00000000,0.00000000,1.00000000,2.50000000
0.12875000,1.00000000,0.00000000,1.00000000,2.50000000
0.13125000,1.00000000,0.00000000,1.00000000,2.50000000
0.13375000,1.00000000,0.00000000,1.00000000,2.50000000
0.13625000,1.00000000,0.00000000,1.00000000,2.50000000
0.13875000,1.00000000,0.00000000,1.00000000,2.49999999
0.14125000,1.00000000,0.00000000,0.99999999,2.49999999
0.14375000,0.99999999,0.00000001,0.99999999,2.49999998
0.14625000,0.99999999,0.00000001,0.99999998,2.49999996
0.14875000,0.99999998,0.00000003,0.99999997,2.49999992
0.15125000,0.99999996,0.00000005,0.99999994,2.49999986
0.15375000,0.99999993,0.00000008,0.99999990,2.49999975
0.15625000,0.99999988,0.00000014,0.99999983,2.49999957
0.15875000,0.99999979,0.00000025,0.99999971,2.49999927
0.16125000,0.99999964,0.00000042,0.99999950,2.49999875
0.16375000,0.99999940,0.00000071,0.99999916,2.49999791
0.16625000,0.99999901,0.00000117,0.99999861,2.49999654
0.16875000,0.99999838,0.00000192,0.99999773,2.49999432
0.17125000,0.99999737,0.00000311,0.99999632,2.49999080
0.17375000,0.99999579,0.00000498,0.99999410,2.49998526
0.17625000,0.99999333,0.00000789,0.99999066,2.49997666
0.17875000,0.99998956,0.00001236,0.99998538,2.49996345
0.18125000,0.99998384,0.00001912,0.99997738,2.49994344
0.18375000,0.99997528,0.00002925,0.99996539,2.49991348
0.18625000,0.99996262,0.00004422,0.99994768,2.49986919
0.18875000,0.99994415,0.00006608,0.99992181,2.49980453
0.19125000,0.99991752,0.00009760,0.99988453,2.49971132
0.19375000,0.99987961,0.00014245,0.99983146,2.49957867
0.19625000,0.99982636,0.00020547,0.99975691,2.49939230
0.19875000,0.99975249,0.00029288,0.99965351,2.49913382
0.20125000,0.99965137,0.00041254,0.99951197,2.49878001
0.20375000,0.99951475,0.00057424,0.99932074,2.49830202
0.20625000,0.99933258,0.00078986,0.99906579,2.49766478
0.20875000,0.99909289,0.00107362,0.99873035,2.49682646
0.21125000,0.99878166,0.00144212,0.99829488,2.49573824
0.21375000,0.99838291,0.00191436,0.99773704,2.49434443
0.21625000,0.99787877,0.00251160,0.99703193,2.49258297
0.21875000,0.99724979,0.00325703,0.99615244,2.49038640
0.22125000,0.99647532,0.00417535,0.99506988,2.48768339
0.22375000,0.99553403,0.00529214,0.99375469,2.48440067
0.22625000,0.99440460,0.00663316,0.99217738,2.48046533
0.22875000,0.99306637,0.00822352,0.99030954,2.47580743
0.23125000,0.99150010,0.01008687,0.98812486,2.47036260
0.23375000,0.98968866,0.01224460,0.98560017,2.46407461
0.23625000,0.98761766,0.01471509,0.98271624,2.45689753
0.23875000,0.98527594,0.01751320,0.97945853,2.44879742
0.24125000,0.98265585,0.02064984,0.97581760,2.43975351
0.24375000,0.97975347,0.02413180,0.97178933,2.42975860
0.24625000,0.97656854,0.02796176,0.96737483,2.41881885
0.24875000,0.97310429,0.03213843,0.96258019,2.40695304
0.25125000,0.96936710,0.03665693,0.95741597,2.39419122
0.25375000,0.96536613,0.04150922,0.95189660,2.38057318
0.25625000,0.96111280,0.04668459,0.94603969,2.36614657
0.25875000,0.95662032,0.05217019,0.93986530,2.35096508
0.26125000,0.95190321,0.05795160,0.93339525,2.33508655
0.26375000,0.94697683,0.06401327,0.92665244,2.31857131
0.26625000,0.94185697,0.07033905,0.91966029,2.30148069
0.26875000,0.93655955,0.07691247,0.91244224,2.28387571
0.27125000,0.93110027,0.08371716,0.90502131,2.26581611
0.27375000,0.92549442,0.09073706,0.89741984,2.24735950
0.27625000,0.91975669,0.09795662,0.88965920,2.22856076
0.27875000,0.91390109,0.10536095,0.88175965,2.20947169
0.28125000,0.90794081,0.11293592,0.87374022,2.19014074
0.28375000,0.90188823,0.12066823,0.86561870,2.17061286
0.28625000,0.89575487,0.12854540,0.85741154,2.15092954
0.28875000,0.88955140,0.13655583,0.84913395,2.13112883
0.29125000,0.88328768,0.14468871,0.84079990,2.11124549
0.29375000,0.87697278,0.15293409,0.83242217,2.09131112
0.29625000,0.87061501,0.16128277,0.82401243,2.07135434
0.29875000,0.86422199,0.16972625,0.81558128,2.05140102
0.30125000,0.85780067,0.17825676,0.80713838,2.03147446
0.30375000,0.85135739,0.18686713,0.79869246,2.01159557
0.30625000,0.84489794,0.19555079,0.79025145,1.99178312
0.30875000,0.83842759,0.20430171,0.78182248,1.97205385
0.31125000,0.83195113,0.21311435,0.77341203,1.95242274
0.31375000,0.82547293,0.22198362,0.76502591,1.93290309
0.31625000,0.81899696,0.23090485,0.75666939,1.91350672
0.31875000,0.81252683,0.23987375,0.74834718,1.89424411
0.32125000,0.80606584,0.24888636,0.74006356,1.87512453
0.32375000,0.79961699,0.25793903,0.73182234,1.85615613
0.32625000,0.79318301,0.26702839,0.72362698,1.83734608
0.32875000,0.78676639,0.27615134,0.71548057,1.81870066
0.33125000,0.78036940,0.28530497,0.70738589,1.80022535
0.33375000,0.77399414,0.29448661,0.69934544,1.78192489
0.33625000,0.76764249,0.30369376,0.69136144,1.76380340
0.33875000,0.76131620,0.31292409,0.68343591,1.74586439
0.34125000,0.75501687,0.32217542,0.67557065,1.72811087
0.34375000,0.74874597,0.33144568,0.66776726,1.71054536
0.34625000,0.74250484,0.34073295,0.66002718,1.69316997
0.34875000,0.73629473,0.35003541,0.65235170,1.67598643
0.35125000,0.73011679,0.35935130,0.64474197,1.65899613
0.35375000,0.72397209,0.36867898,0.63719900,1.64220017
0.35625000,0.71786161,0.37801685,0.62972373,1.62559937
