time_s,intensity_random_phase,intensity_locked_phase
0.0000000000e+00,1.3518097279e+00,6.0373562496e+01
1.0006922856e-11,1.3481882006e+00,5.9923214598e+01
2.0013845712e-11,1.3463039401e+00,5.8590610701e+01
3.0020768568e-11,1.3455591558e+00,5.6429920447e+01
4.0027691424e-11,1.3451973160e+00,5.3527685781e+01
5.0034614280e-11,1.3443213596e+00,4.9997522092e+01
6.0041537136e-11,1.3419280961e+00,4.5973294424e+01
7.0048459992e-11,1.3369574575e+00,4.1601296440e+01
8.0055382848e-11,1.3283534704e+00,3.7032022858e+01
9.0062305704e-11,1.3151322488e+00,3.2412136173e+01
1.0006922856e-10,1.2964511788e+00,2.7877186237e+01
1.1007615142e-10,1.2716729269e+00,2.3545552573e+01
1.2008307427e-10,1.2404180456e+00,1.9513954344e+01
1.3008999713e-10,1.2026007962e+00,1.5854725090e+01
1.4009691998e-10,1.1584442768e+00,1.2614893764e+01
1.5010384284e-10,1.1084728982e+00,9.8169653253e+00
1.6011076570e-10,1.0534824738e+00,7.4611666557e+00
1.7011768855e-10,9.9449043721e-01,5.5288273964e+00
1.8012461141e-10,9.3267072410e-01,3.9865072538e+00
1.9013153426e-10,8.6927941172e-01,2.7904636345e+00
2.0013845712e-10,8.0557813115e-01,1.8910743094e+00
2.1014537997e-10,7.4276244122e-01,1.2368833990e+00
2.2015230283e-10,6.8190176268e-01,7.7801674719e-01
2.3015922569e-10,6.2389618375e-01,4.6880440905e-01
2.4016614854e-10,5.6945361322e-01,2.6954276404e-01
2.5017307140e-10,5.1908858278e-01,1.4741674717e-01
2.6017999425e-10,4.7314172972e-01,7.6675712218e-02
2.7018691711e-10,4.3181687478e-01,3.8208923969e-02
2.8019383997e-10,3.9523087187e-01,1.8695941736e-02
2.9020076282e-10,3.6347022235e-01,9.5134404693e-03
3.0020768568e-10,3.3664792492e-01,5.5661030362e-03
3.1021460853e-10,3.1495420072e-01,4.1798253962e-03
3.2022153139e-10,2.9869554544e-01,4.1564588959e-03
3.3022845425e-10,2.8831789706e-01,5.0468177749e-03
3.4023537710e-10,2.8441140224e-01,6.6583570678e-03
3.5024229996e-10,2.8769611618e-01,8.7802988229e-03
3.6024922281e-10,2.9898977681e-01,1.1085028797e-02
3.7025614567e-10,3.1916036861e-01,1.3151563374e-02
3.8026306853e-10,3.4906738445e-01,1.4554421942e-02
3.9026999138e-10,3.8949641244e-01,1.4967604569e-02
4.0027691424e-10,4.4109188004e-01,1.4245916637e-02
4.1028383709e-10,5.0429250772e-01,1.2461526715e-02
4.2029075995e-10,5.7927333590e-01,9.8893893947e-03
4.3029768281e-10,6.6589721710e-01,6.9485014881e-03
4.4030460566e-10,7.6367755804e-01,4.1151652883e-03
4.5031152852e-10,8.7175301433e-01,1.8287129091e-03
4.6031845137e-10,9.8887393292e-01,4.0962242566e-04
4.7032537423e-10,1.1133997283e+00,5.5165927089e-06
4.8033229709e-10,1.2433061471e+00,5.7358415741e-04
4.9033921994e-10,1.3762015523e+00,1.9001307934e-03
5.0034614280e-10,1.5093519090e+00,3.6508086137e-03
5.1035306565e-10,1.6397149871e+00,5.4398283109e-03
5.2035998851e-10,1.7639852661e+00,6.9038784588e-03
5.3036691137e-10,1.8786519452e+00,7.7667593797e-03
5.4037383422e-10,1.9800731143e+00,7.8835553012e-03
5.5038075708e-10,2.0645693192e+00,7.2577762768e-03
5.6038767993e-10,2.1285392759e+00,6.0303151760e-03
5.7039460279e-10,2.1685992309e+00,4.4442495749e-03
5.8040152564e-10,2.1817453857e+00,2.7935711606e-03
5.9040844850e-10,2.1655359874e+00,1.3662202062e-03
6.0041537136e-10,2.1182863058e+00,3.9207374994e-04
6.1042229421e-10,2.0392660952e+00,4.8926781977e-06
6.2042921707e-10,1.9288856773e+00,2.2410996410e-04
6.3043613992e-10,1.7888539568e+00,9.5839941935e-04
6.4044306278e-10,1.6222899908e+00,2.0289543607e-03
6.5044998564e-10,1.4337696310e+00,3.2070377697e-03
6.6045690849e-10,1.2292905844e+00,4.2581862081e-03
6.7046383135e-10,1.0161431735e+00,4.9847599304e-03
6.8047075420e-10,8.0268007679e-01,5.2593523246e-03
6.9047767706e-10,5.9798608862e-01,5.0436597265e-03
7.0048459992e-10,4.1145790770e-01,4.3903201871e-03
7.1049152277e-10,2.5231336304e-01,3.4283957828e-03
7.2049844563e-10,1.2905836661e-01,2.3360272694e-03
7.3050536848e-10,4.8947231579e-02,1.3058519564e-03
7.4051229134e-10,1.7476832655e-02,5.0973262260e-04
7.5051921420e-10,3.7956598216e-02,6.9095286626e-05
7.6052613705e-10,1.1119397580e-01,3.5830839308e-05
7.7053305991e-10,2.3532864097e-01,3.8657753222e-04
7.8053998276e-10,4.0583859293e-01,1.0306868956e-03
7.9054690562e-10,6.1572811045e-01,1.8297454160e-03
8.0055382848e-10,8.5589243857e-01,2.6245985116e-03
