H_A_per_m,M_A_per_m,B_T
-1200.0,-1600000.0,-2.0121272627711906
-1196.5714285714287,-1599987.1023680596,-2.0121067466589646
-1193.142857142857,-1599975.9236835323,-2.012088390639765
-1189.7142857142858,-1599966.1797040866,-2.0120718375241426
-1186.2857142857142,-1599957.6314200382,-2.0120567869636705
-1182.857142857143,-1599950.0778105492,-2.012042986348114
-1179.4285714285713,-1599943.3497586616,-2.012030223158836
-1176.0,-1599937.3049397443,-2.01201831854543
-1172.5714285714287,-1599931.8235276032,-2.0120071219298596
-1169.142857142857,-1599926.8045874236,-2.0119965064736958
-1165.7142857142858,-1599922.1630456473,-2.011986365270353
-1162.2857142857142,-1599917.827144468,-2.011976608146311
-1158.857142857143,-1599913.7363034023,-2.0119671589738903
-1155.4285714285713,-1599909.8393227982,-2.011957953413711
-1152.0,-1599906.0928745645,-2.0119489370180865
-1148.5714285714287,-1599902.4602341617,-2.0119400636376006
-1145.142857142857,-1599898.9102152458,-2.0119312940823373
-1141.7142857142858,-1599895.4162745331,-2.0119225949970225
-1138.2857142857142,-1599891.9557596475,-2.0119139379158404
-1134.857142857143,-1599888.5092770634,-2.011905298468169
-1131.4285714285713,-1599885.0601609237,-2.0118966557110736
-1128.0,-1599881.5940265877,-2.011887991568282
-1124.5714285714287,-1599878.098395341,-2.0118792903585794
-1121.142857142857,-1599874.5623788799,-2.01187053839932
-1117.7142857142858,-1599870.976413993,-2.0118617236730167
-1114.2857142857142,-1599867.332039406,-2.0118528355469203
-1110.857142857143,-1599863.6217080343,-2.011843864537083
-1107.4285714285713,-1599859.8386289666,-2.011834802109796
-1104.0,-1599855.9766344214,-2.011825640514394
-1100.5714285714287,-1599852.0300676657,-2.0118163726424183
-1097.142857142857,-1599847.9936885377,-2.0118069919088875
-1093.7142857142858,-1599843.8625937453,-2.011797492152142
-1090.2857142857142,-1599839.6321495695,-2.0117878675492795
-1086.857142857143,-1599835.2979349769,-2.011778112544665
-1083.4285714285713,-1599830.8556934667,-2.011768221789423
-1080.0,-1599826.3012922462,-2.0117581900901316
-1076.5714285714287,-1599821.6306875497,-2.0117480123652456
-1073.142857142857,-1599816.8398951099,-2.011737683607987
